   Field  Tile         RA        Dec Size
  LMC_c49  T12  86.990264 -71.024821 0.67
  LMC_c49  T13  88.913011 -72.657807 0.67
  LMC_c49  T14  88.830837  -72.10837 0.67
  LMC_c49  T15  88.753404   -71.5589 0.67
  LMC_c49  T16    88.6803   -71.0094 0.67
  LMC_c50  T01   85.78344 -69.397782 0.67
  LMC_c50  T02  85.841503 -68.848171 0.67
  LMC_c50  T03  85.896758 -68.298541 0.67
  LMC_c50  T04  85.949411 -67.748894 0.67
  LMC_c50  T05  87.346365 -69.411753 0.67
  LMC_c50  T06  87.365744 -68.861796 0.67
  LMC_c50  T07  87.384185 -68.311837 0.67
  LMC_c50  T08  87.401757 -67.761877 0.67
  LMC_c50  T09  88.910302 -69.411753 0.67
  LMC_c50  T10  88.890922 -68.861796 0.67
  LMC_c50  T11  88.872481 -68.311837 0.67
  LMC_c50  T12   88.85491 -67.761877 0.67
  LMC_c50  T13  90.473227 -69.397782 0.67
  LMC_c50  T14  90.415163 -68.848171 0.67
  LMC_c50  T15  90.359909 -68.298541 0.67
  LMC_c50  T16  90.307256 -67.748894 0.67
  LMC_c51  T01  86.532893 -71.180513 0.67
  LMC_c51  T02  86.602611 -70.630986 0.67
  LMC_c51  T03  86.668626 -70.081434 0.67
  LMC_c51  T04  86.731236 -69.531859 0.67
  LMC_c51  T05  88.237738 -71.195933 0.67
  LMC_c51  T06  88.261014 -70.645985 0.67
  LMC_c51  T07  88.283052 -70.096035 0.67
  LMC_c51  T08  88.303951 -69.546082 0.67
  LMC_c51  T09  89.943928 -71.195933 0.67
  LMC_c51  T10  89.920653 -70.645985 0.67
  LMC_c51  T11  89.898615 -70.096035 0.67
  LMC_c51  T12  89.877716 -69.546082 0.67
  LMC_c51  T13  91.648774 -71.180513 0.67
  LMC_c51  T14  91.579056 -70.630986 0.67
  LMC_c51  T15  91.513041 -70.081434 0.67
  LMC_c51  T16   91.45043 -69.531859 0.67
  SMC_c01  T01  12.678192  -74.30183 0.67
  SMC_c01  T02  12.778492 -73.752523 0.67
  SMC_c01  T03  12.872402 -73.203171 0.67
  SMC_c01  T04  12.960529  -72.65378 0.67
  SMC_c01  T05  14.710832 -74.320548 0.67
  SMC_c01  T06  14.744342 -73.770625 0.67
  SMC_c01  T07  14.775712 -73.220697 0.67
  SMC_c01  T08  14.805146 -72.670765 0.67
  SMC_c01  T09  16.745834 -74.320548 0.67
  SMC_c01  T10  16.712325 -73.770625 0.67
  SMC_c01  T11  16.680955 -73.220697 0.67
  SMC_c01  T12   16.65152 -72.670765 0.67
  SMC_c01  T13  18.778474  -74.30183 0.67
  SMC_c01  T14  18.678175 -73.752523 0.67
  SMC_c01  T15  18.584265 -73.203171 0.67
  SMC_c01  T16  18.496137  -72.65378 0.67
  SMC_c02  T01  17.453515  -74.16039 0.67
  SMC_c02  T02  17.552034  -73.61107 0.67
  SMC_c02  T03  17.644333 -73.061707 0.67
  SMC_c02  T04  17.730996 -72.512305 0.67
  SMC_c02  T05  19.468462 -74.178931 0.67
  SMC_c02  T06  19.501375 -73.629007 0.67
  SMC_c02  T07  19.532205 -73.079077 0.67
  SMC_c02  T08   19.56115 -72.529144 0.67
  SMC_c02  T09  21.485705 -74.178931 0.67
  SMC_c02  T10  21.452792 -73.629007 0.67
  SMC_c02  T11  21.421961 -73.079077 0.67
  SMC_c02  T12  21.393017 -72.529144 0.67
  SMC_c02  T13  23.500651  -74.16039 0.67
  SMC_c02  T14  23.402132  -73.61107 0.67
  SMC_c02  T15  23.309834 -73.061707 0.67
  SMC_c02  T16  23.223171 -72.512305 0.87
  SMC_c03  T01   9.878668 -72.833489 0.67
  SMC_c03  T02   9.962538 -72.284063 0.67
  SMC_c03  T03  10.041519 -71.734605 0.67
  SMC_c03  T04  10.116039 -71.185115 0.67
  SMC_c03  T05  11.742015  -72.85051 0.67
  SMC_c03  T06  11.770024 -72.300574 0.67
  SMC_c03  T07  11.796398 -71.750634 0.67
  SMC_c03  T08   11.82128 -71.200691 0.67
  SMC_c03  T09  13.607152  -72.85051 0.67
  SMC_c03  T10  13.579142 -72.300574 0.67
  SMC_c03  T11  13.552768 -71.750634 0.67
  SMC_c03  T12  13.527887 -71.200691 0.67
  SMC_c03  T13  15.470499 -72.833489 0.67
  SMC_c03  T14  15.386629 -72.284063 0.67
  SMC_c03  T15  15.307648 -71.734605 0.67
  SMC_c03  T16  15.233127 -71.185115 0.67
  SMC_c04  T01   9.878668 -72.833489 0.67
  SMC_c04  T02   9.962538 -72.284063 0.67
  SMC_c04  T03  10.041519 -71.734605 0.67
  SMC_c04  T04  10.116039 -71.185115 0.67
  SMC_c04  T05  11.742015  -72.85051 0.67
  SMC_c04  T06  11.770024 -72.300574 0.67
  SMC_c04  T07  11.796398 -71.750634 0.67
  SMC_c04  T08   11.82128 -71.200691 0.67
  SMC_c04  T09  13.607152  -72.85051 0.67
  SMC_c04  T10  13.579142 -72.300574 0.67
  SMC_c04  T11  13.552768 -71.750634 0.67
  SMC_c04  T12  13.527887 -71.200691 0.67
  SMC_c04  T13  15.470499 -72.833489 0.67
  SMC_c04  T14  15.386629 -72.284063 0.67
  SMC_c04  T15  15.307648 -71.734605 0.67
  SMC_c04  T16  15.233127 -71.185115 0.67
  SMC_c05  T01  14.666541 -72.601318 0.67
